Peak Brightness Date/Time (UT),Latitude (deg.),Longitude (deg.),Altitude (km),Velocity (km/s),vx,vy,vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt)
26-10-2020 15:09,5.9S,160.4E,28.5,17.6,10.9,-13.8,-0.1,1.14E+11,0.34
23-10-2020 20:51,30.0N,71.9W,48,,,,,8.00E+10,0.25
22-10-2020 17:39,22.0N,133.5W,40,17.6,-9.4,14.1,-4.9,4.40E+10,0.15
21-10-2020 18:57,12.9N,150.2W,,,,,,2.20E+10,0.079
21-10-2020 06:38,29.7S,93.9W,39,,,,,2.70E+10,0.095
19-10-2020 07:05,48.6N,93.9E,40.7,,,,,2.10E+10,0.076
18-10-2020 10:52,11.4S,135.8W,36,16.4,15.6,1.5,4.9,3.60E+10,0.12
18-09-2020 08:05,2.4N,169.7W,46,11.7,10.2,2.9,-4.9,4.10E+10,0.14
30-08-2020 16:08,26.0N,133.5E,27.8,23.4,7.8,-21.7,3.7,6.40E+10,0.2
02-08-2020 16:36,35.1S,34.2W,38,11.1,0.5,6,9.3,7.40E+10,0.23
22-07-2020 02:55,20.0S,103.8W,36,,,,,2.20E+10,0.079
20-07-2020 21:25,51.8S,11.2W,31.6,14.1,-2.9,-1,-13.8,5.00E+10,0.16
12-07-2020 07:50,48.7S,74.0E,29.4,18.3,-5,-13,-11.9,7.50E+10,0.23
27-05-2020 17:30,40.8N,41.7E,29.3,14.9,-6,-7.3,-11.5,5.70E+10,0.18
18-05-2020 01:11,38.7S,77.2E,25,,,,,1.62E+11,0.46
12-05-2020 23:22,15.9N,174.2E,,,,,,8.30E+10,0.26
09-05-2020 09:37,7.2N,44.2W,52.5,,,,,4.10E+10,0.14
09-05-2020 02:56,44.8N,131.0W,31.2,14.5,-13,-4,-5,4.10E+10,0.14
28-04-2020 05:43,20.1N,109.4W,,,,,,2.10E+10,0.076
18-04-2020 13:08,12.5N,49.8W,,,,,,2.70E+10,0.095
14-04-2020 11:11,65.6S,45.6W,,,,,,2.00E+10,0.073
26-03-2020 23:27,38.3S,23.5E,26.5,20.7,-10,3.2,17.8,1.24E+11,0.37
23-03-2020 16:51,24.4S,67.9W,25,,,,,1.33E+11,0.39
22-03-2020 06:44,,,,,,,,2.50E+10,0.089
04-03-2020 20:25,53.3S,90.8E,24.3,19.8,-5.2,2.2,19,3.94E+11,1
28-02-2020 09:30,45.7N,15.1E,34.5,21.5,-18.2,-11.3,-2.1,1.15E+11,0.34
24-02-2020 22:21,3.6N,96.0W,,,,,,2.00E+10,0.073
10-02-2020 23:48,28.2N,76.7E,41.7,31.7,-27.8,-14.3,-5.2,2.70E+10,0.095
27-01-2020 05:39,30.4N,1.5E,32.5,19.8,-2,-16.6,-10.6,4.40E+10,0.15
